cid,id_instalacion,rut_jefe_cierre,fecha_cierre,fecha_apertura
137,180,37742604-5,2020-02-04 20:31:58,2020-02-08 10:44:27
138,110,29637564-0,2010-01-31 12:52:54,2010-02-12 20:18:02
139,133,31113786-7,2012-06-01 19:01:50,2012-06-10 03:58:49
140,15,67710168-7,2010-06-17 00:03:32,2010-06-28 03:33:01
141,87,80640357-1,2019-01-11 20:23:52,2019-01-15 11:57:45
142,160,23298314-0,2017-05-03 18:17:16,2017-05-13 03:00:56
143,40,23494123-2,2016-09-07 17:10:20,2016-09-21 05:11:26
144,55,91957885-8,2018-08-18 00:24:03,2018-08-27 01:52:54
145,179,64269343-3,2012-05-25 04:04:30,2012-05-28 07:06:07
146,133,95226644-6,2011-10-11 09:27:17,2011-10-20 18:44:49
147,32,22997103-4,2013-03-10 00:56:38,2013-03-18 09:07:58
148,52,61993529-2,2014-04-16 21:15:06,2014-04-21 07:01:32
149,84,55422937-9,2018-06-05 06:22:02,2018-06-09 20:41:09
150,117,89751595-4,2010-08-25 00:28:23,2010-09-06 13:44:50
151,203,50109588-5,2014-05-07 22:39:22,2014-05-12 07:30:46
152,209,26257768-6,2010-12-29 17:57:35,2011-01-08 20:02:49
153,211,55326528-2,2020-04-12 11:23:39,2020-04-24 16:51:24
154,86,63795324-9,2014-12-07 13:26:52,2014-12-14 19:21:02
155,201,86683089-4,2010-12-13 15:37:33,2010-12-25 04:30:27
156,8,35480818-8,2010-02-17 15:41:54,2010-03-01 03:22:06
157,110,29637564-0,2017-01-13 08:02:29,2017-01-21 13:51:44
158,194,54593722-0,2014-04-07 11:02:21,2014-04-17 22:46:26
159,78,27161682-1,2019-02-01 22:33:47,2019-02-09 08:10:59
160,37,78897889-8,2013-03-20 01:16:54,2013-03-23 07:29:52
161,94,44290962-8,2012-06-06 10:19:42,2012-06-20 21:47:58
162,168,37142311-7,2012-04-26 23:14:48,2012-05-08 11:38:02
163,24,59129614-0,2016-06-14 18:23:03,2016-06-27 06:09:04
164,119,59105378-7,2020-03-29 14:20:08,2020-04-05 18:18:44
165,65,30928102-0,2014-01-31 10:05:54,2014-02-13 13:26:36
166,204,58191750-3,2016-05-06 17:22:34,2016-05-16 06:57:50
167,77,59444986-k,2013-03-24 01:22:38,2013-04-04 10:41:23
168,136,15460166-k,2015-04-17 11:27:22,2015-04-30 22:35:50
169,192,19942007-0,2018-11-07 02:05:50,2018-11-17 09:23:38
170,19,21759577-0,2011-10-09 02:29:22,2011-10-17 03:32:55
171,81,87634133-6,2014-12-18 11:53:34,2014-12-28 22:25:13
172,4,79861684-6,2012-12-16 10:47:41,2012-12-21 20:00:12
173,154,55106753-k,2015-02-27 16:45:29,2015-03-05 01:31:46
174,45,68505645-3,2017-03-04 06:04:46,2017-03-15 12:12:35
175,114,89793517-1,2011-03-07 10:32:36,2011-03-18 00:38:20
176,21,34846808-1,2018-04-04 06:29:09,2018-04-15 12:16:38
177,71,81698647-8,2015-07-14 00:07:57,2015-07-18 09:49:54
178,204,10927357-0,2019-01-19 18:05:49,2019-01-27 05:07:12
179,177,87861767-3,2015-05-22 08:12:58,2015-05-27 14:58:18
180,89,20694588-5,2019-05-31 12:59:19,2019-06-11 05:11:22
181,42,69020528-9,2020-03-09 13:13:42,2020-03-19 19:28:17
182,207,35785969-7,2011-12-22 11:09:53,2012-01-04 00:36:01
183,138,89512502-4,2011-11-03 14:19:40,2011-11-08 22:31:41
184,39,58303600-8,2016-05-22 02:38:32,2016-05-30 06:35:53
185,58,63421928-5,2016-10-18 03:14:06,2016-10-31 15:43:14
186,137,84729190-7,2014-08-17 19:30:43,2014-08-28 20:33:23
187,164,75397524-1,2012-09-29 21:59:27,2012-10-09 03:19:26
188,41,29950437-9,2014-12-02 06:08:39,2014-12-06 08:40:48
189,75,34823992-9,2019-01-11 09:58:22,2019-01-25 13:53:32
190,88,77366538-9,2020-05-24 00:38:01,2020-05-30 06:17:43
191,119,38204359-6,2013-05-01 22:04:40,2013-05-05 12:58:38
192,25,59537115-5,2020-04-25 20:39:28,2020-05-07 22:16:55
193,114,89793517-1,2014-06-16 01:56:36,2014-06-19 13:53:35
194,167,59150917-9,2018-06-10 02:19:01,2018-06-17 18:48:24
195,139,56425505-k,2015-08-24 12:07:53,2015-08-30 14:06:10
196,145,40644356-6,2020-02-09 02:49:03,2020-02-16 18:45:39
197,113,81401624-2,2011-06-23 13:43:04,2011-07-02 18:58:47
198,203,40978316-3,2020-08-27 15:42:57,2020-09-06 18:04:59
199,131,30991735-9,2019-07-06 20:57:18,2019-07-18 03:41:39
200,54,79348268-k,2011-08-23 06:30:26,2011-09-05 11:11:51
201,123,68225683-4,2014-01-02 23:39:42,2014-01-11 10:22:14
202,160,51317447-0,2011-02-21 21:38:23,2011-03-06 12:01:30
203,15,31359212-k,2015-12-03 03:29:17,2015-12-16 06:11:27
204,110,29637564-0,2010-04-13 01:07:21,2010-04-23 05:27:10
205,101,80885102-4,2011-10-16 17:57:22,2011-10-24 07:56:01
206,117,38717290-4,2010-03-20 14:07:18,2010-04-02 23:46:59
207,134,80698616-k,2015-10-14 18:01:02,2015-10-27 04:07:38
208,100,56474633-9,2012-01-09 17:12:40,2012-01-13 01:32:06
209,91,74415365-4,2010-12-27 21:18:37,2011-01-10 08:49:35
210,127,14343597-0,2011-04-19 21:54:39,2011-05-02 09:49:12
211,63,86083776-5,2012-06-13 03:05:22,2012-06-26 06:44:42
212,211,55326528-2,2014-05-29 00:05:08,2014-06-06 05:14:57
213,102,88107942-9,2018-09-04 15:29:20,2018-09-15 03:54:37
214,143,14761964-2,2013-05-13 03:03:23,2013-05-20 18:17:22
215,65,65809271-5,2017-08-20 15:35:08,2017-08-31 19:26:55
216,175,33890329-4,2019-03-09 12:51:45,2019-03-13 13:10:26
217,86,84921010-6,2018-12-19 08:05:28,2018-12-31 23:43:52
218,198,47329036-7,2019-06-04 22:17:48,2019-06-10 10:05:54
219,133,29622397-2,2013-02-19 21:47:09,2013-03-06 13:46:33
220,154,25368817-3,2013-07-26 16:20:34,2013-07-29 19:53:25
221,153,47326835-3,2010-11-12 06:17:38,2010-11-24 07:40:19
222,30,33016426-3,2017-08-25 10:06:01,2017-09-06 00:04:34
223,74,42300579-3,2015-08-22 03:32:31,2015-08-26 11:16:45
224,50,46531952-6,2013-03-22 06:37:47,2013-03-25 09:56:39
225,194,37126798-0,2014-06-05 11:37:49,2014-06-18 22:17:05
226,67,59137080-4,2012-06-18 12:14:24,2012-06-27 16:30:26
227,14,85297873-2,2010-11-05 09:08:47,2010-11-14 22:27:07
228,156,52778909-5,2012-01-27 05:38:53,2012-02-03 12:05:26
229,143,14761964-2,2013-09-08 06:11:31,2013-09-16 20:49:42
230,112,30680313-1,2016-03-05 17:37:05,2016-03-10 03:27:30
231,27,44281327-2,2015-06-07 01:26:45,2015-06-14 08:08:40
232,211,56499633-5,2020-03-27 14:23:04,2020-04-05 21:26:18
233,144,11439340-1,2015-11-23 12:16:14,2015-11-26 23:04:57
234,168,83469143-4,2014-10-28 12:49:13,2014-11-08 19:27:34
235,192,91935122-5,2014-10-23 06:48:47,2014-10-26 23:27:39
236,143,83399209-0,2015-01-01 21:26:22,2015-01-05 08:13:08
237,29,54122700-8,2014-02-24 14:16:18,2014-03-07 05:59:48
238,74,49798131-k,2020-07-26 18:17:59,2020-08-02 10:14:12
239,159,63532763-4,2015-11-13 14:12:26,2015-11-27 16:44:09
240,29,28231652-8,2011-11-01 18:57:59,2011-11-12 20:18:18
241,82,83290634-4,2017-05-11 23:58:38,2017-05-15 15:16:15
242,82,33006349-1,2018-12-24 08:35:47,2019-01-03 15:19:46
243,136,54982068-9,2020-05-02 01:56:28,2020-05-08 14:01:53
244,140,68377701-3,2013-03-28 04:34:00,2013-04-01 14:21:45
245,75,79850677-3,2017-01-02 17:56:30,2017-01-11 04:17:28
246,214,19706256-8,2010-05-05 20:34:11,2010-05-17 01:51:48
247,203,63688364-6,2020-03-15 06:21:35,2020-03-21 13:14:35
248,94,41361801-0,2010-09-24 11:39:42,2010-10-07 13:08:07
249,11,97996738-1,2012-09-27 12:15:23,2012-10-02 01:19:57
250,143,61863167-2,2019-12-22 20:25:56,2019-12-27 22:09:31
251,208,56535213-k,2014-01-29 23:12:13,2014-02-06 23:41:12
252,188,66844166-1,2018-08-17 09:21:05,2018-08-26 01:25:16
253,98,99837067-1,2016-04-24 22:12:52,2016-05-01 09:08:19
254,135,21924647-1,2017-05-16 13:24:10,2017-05-24 00:44:27
255,187,73543707-0,2015-10-23 09:51:42,2015-11-04 22:50:32
256,97,77020926-9,2014-10-25 02:02:31,2014-11-04 05:53:29
257,180,61514910-1,2016-01-26 06:41:58,2016-02-08 11:02:06
258,93,82833215-5,2010-01-08 22:42:07,2010-01-19 23:15:19
259,163,42162871-8,2014-02-19 04:04:53,2014-02-24 07:40:16
260,51,66970190-k,2018-12-16 20:11:01,2018-12-31 11:26:41
261,191,29415476-0,2011-08-31 07:38:29,2011-09-11 10:55:33
262,46,67629255-1,2013-02-10 04:58:46,2013-02-23 16:07:11
263,170,73557956-8,2013-06-21 13:01:59,2013-07-03 17:49:52
264,99,17195049-k,2018-01-16 03:47:09,2018-01-19 10:00:52
265,80,85301240-8,2012-01-16 20:13:04,2012-01-26 12:15:20
266,136,42354523-2,2020-02-20 23:19:11,2020-02-27 14:59:18
267,0,75295314-7,2020-04-09 12:02:33,2020-04-15 00:37:39
268,85,15451762-6,2020-08-19 10:57:02,2020-08-29 20:12:31
269,32,88413708-k,2015-08-30 12:53:34,2015-09-05 00:17:52
270,42,69020528-9,2020-07-10 14:51:27,2020-07-13 18:04:59
271,6,45453849-8,2012-03-03 13:11:39,2012-03-14 13:44:29
272,202,41581842-4,2016-08-29 16:00:41,2016-09-03 19:33:06
273,119,59105378-7,2013-07-14 02:17:51,2013-07-27 04:22:53
274,161,27143992-k,2010-01-05 01:20:29,2010-01-19 13:01:34
275,197,98849412-7,2015-10-04 21:37:41,2015-10-18 23:49:05
276,9,70106627-8,2010-07-22 06:07:05,2010-07-30 22:34:42
277,97,60926655-4,2011-04-05 09:50:39,2011-04-19 11:36:36
278,90,24878659-0,2010-05-10 13:07:11,2010-05-18 16:55:52
279,107,38317707-3,2014-07-14 02:03:29,2014-07-18 11:33:35
280,23,57689116-4,2018-11-22 09:25:22,2018-11-26 22:47:44
281,161,83029887-8,2013-05-18 06:32:18,2013-05-21 18:08:20
282,189,45347413-5,2012-02-11 12:35:30,2012-02-23 02:37:09
283,81,48246125-5,2015-09-19 07:35:50,2015-09-26 20:24:57
284,117,44060880-9,2013-08-28 19:33:50,2013-09-07 03:03:19
285,72,22637365-9,2012-01-11 08:30:45,2012-01-16 19:12:04
286,57,57792927-0,2018-11-09 15:49:46,2018-11-20 06:51:00
287,44,12412672-k,2019-04-29 16:34:27,2019-05-13 21:39:42
288,61,93900888-8,2017-06-24 08:34:32,2017-07-08 15:56:46
289,20,78918085-7,2011-11-12 19:17:17,2011-11-16 02:33:59
290,15,18665525-7,2016-06-23 18:18:46,2016-07-04 03:36:30
291,17,80291272-2,2014-11-30 17:17:54,2014-12-15 09:25:15
292,67,58038177-4,2011-04-18 06:24:21,2011-04-22 21:04:21
293,201,69777560-9,2015-03-02 17:01:14,2015-03-06 08:00:55
294,114,28370900-0,2014-06-18 04:32:18,2014-06-22 15:09:49
295,79,92244003-4,2018-11-19 03:26:00,2018-11-25 18:26:56
296,215,99075946-4,2011-07-28 07:38:39,2011-08-11 10:18:27
297,38,73222374-6,2011-03-10 06:01:15,2011-03-15 12:18:55
298,118,48553208-0,2017-12-21 01:41:21,2017-12-26 02:35:39
299,191,92253121-8,2020-06-05 15:13:40,2020-06-20 04:13:21
300,78,12815044-7,2013-06-27 20:19:10,2013-07-04 06:37:51
301,54,79348268-k,2010-03-10 10:03:39,2010-03-24 00:51:12
302,183,32644502-9,2014-05-03 02:45:54,2014-05-07 14:07:19
303,80,50319391-4,2020-01-13 23:13:32,2020-01-20 12:32:17
304,96,44770429-3,2012-01-13 12:47:13,2012-01-21 15:11:06
305,135,82719046-2,2018-12-05 23:52:43,2018-12-14 07:01:25
306,127,14343597-0,2019-08-25 00:08:17,2019-09-04 14:36:56
307,18,53783913-9,2014-10-29 12:20:06,2014-11-08 01:12:32
308,183,48425773-6,2014-03-21 21:58:58,2014-03-26 03:06:18
309,12,69265725-k,2010-04-21 03:02:20,2010-05-03 16:46:21
310,211,55326528-2,2016-10-27 20:03:34,2016-11-03 22:14:53
311,0,12842111-4,2011-11-10 12:49:16,2011-11-15 12:57:03
312,144,70388205-6,2014-02-06 15:39:38,2014-02-18 02:04:24
313,160,82319208-8,2011-10-09 01:44:14,2011-10-22 12:45:04
314,37,41694611-6,2016-07-20 14:03:46,2016-08-01 21:02:57
315,97,87544765-3,2010-01-24 16:04:34,2010-02-04 20:07:53
316,74,47121914-2,2015-09-21 21:57:09,2015-09-30 11:23:04
317,162,48998776-7,2019-12-13 20:54:53,2019-12-19 01:24:50
318,82,64268937-1,2010-09-18 20:13:54,2010-09-24 09:19:02
319,206,21219682-7,2017-01-12 08:07:59,2017-01-26 19:39:07
320,181,34761062-3,2019-03-25 22:32:22,2019-03-31 08:51:11
321,0,12842111-4,2018-09-16 10:03:13,2018-09-22 14:12:53
322,143,19027799-2,2016-06-11 13:22:28,2016-06-14 19:02:44
323,111,62820832-8,2016-01-31 14:49:28,2016-02-12 02:12:55
324,52,61993529-2,2011-02-25 08:10:50,2011-03-01 00:16:31
325,53,53747213-8,2016-07-27 03:43:00,2016-08-02 11:47:49
326,11,97996738-1,2015-06-27 13:18:02,2015-07-05 16:05:11
327,86,42113348-4,2011-09-07 21:23:26,2011-09-15 23:22:18
328,208,97404549-4,2018-11-30 22:50:31,2018-12-09 06:00:08
329,155,81207716-3,2010-02-23 22:06:50,2010-03-09 02:11:05
330,18,12920124-k,2019-04-09 18:53:58,2019-04-22 05:40:34
331,76,73418283-4,2018-10-20 12:38:36,2018-11-01 17:42:25
332,93,44372095-2,2011-12-08 03:42:36,2011-12-15 04:53:30
333,188,83584289-4,2012-01-15 02:56:01,2012-01-21 06:24:21
334,177,24129722-5,2010-04-12 05:14:46,2010-04-17 12:34:49
335,165,87442136-7,2017-05-09 04:35:17,2017-05-18 15:32:44
336,31,90471139-k,2020-06-20 06:16:40,2020-06-26 22:35:59
337,186,31679088-7,2018-05-15 16:27:18,2018-05-22 09:07:01
338,164,75397524-1,2013-06-12 10:16:45,2013-06-23 23:08:02
339,29,28231652-8,2013-03-29 16:23:20,2013-04-06 07:27:40
340,95,38235761-2,2011-11-14 07:08:12,2011-11-23 14:35:00
341,2,93840785-1,2011-07-26 06:38:35,2011-07-30 20:12:03
342,26,43922451-7,2014-10-11 19:47:33,2014-10-25 11:40:18
343,66,95932617-7,2013-08-26 20:16:59,2013-08-30 06:06:06
344,149,13690129-k,2011-11-25 08:04:44,2011-11-30 11:53:57
345,68,99294258-4,2011-12-04 04:03:51,2011-12-08 16:51:29
346,105,91059844-9,2017-09-17 03:49:20,2017-09-26 13:24:40
347,99,48161908-4,2017-10-22 06:03:31,2017-11-03 08:41:01
348,160,93550420-1,2016-10-24 23:55:14,2016-10-30 11:17:21
349,138,44604413-3,2020-07-05 17:55:34,2020-07-17 04:25:18
350,207,35785969-7,2010-08-13 19:22:31,2010-08-23 19:53:44
351,204,66183219-3,2016-05-22 10:14:45,2016-05-27 10:24:47
352,203,40978316-3,2017-03-22 12:05:57,2017-03-27 14:24:30
353,124,26123513-7,2017-08-21 21:15:38,2017-09-05 04:21:09
354,179,14811794-2,2019-11-09 10:35:22,2019-11-16 14:45:12
355,83,49995619-3,2013-11-04 08:52:15,2013-11-18 18:00:21
356,16,26240285-1,2015-08-20 02:45:50,2015-08-29 10:31:27
357,166,78463527-9,2019-04-10 20:01:37,2019-04-19 01:41:19
358,13,52176953-k,2011-05-14 08:41:02,2011-05-23 15:43:38
359,186,53234460-3,2015-04-16 00:15:33,2015-04-30 13:24:21
360,45,22274441-5,2017-10-20 01:16:35,2017-10-30 11:16:13
361,21,35340502-0,2010-10-14 10:10:33,2010-10-22 16:06:43
362,54,48925896-k,2010-08-08 22:59:48,2010-08-14 07:18:36
363,92,12033288-0,2015-06-29 00:09:31,2015-07-04 06:23:52
364,46,91888493-9,2011-08-28 07:26:29,2011-08-31 21:51:28
365,172,59959821-9,2011-06-25 09:42:00,2011-06-28 18:23:17
366,50,62550748-0,2010-07-20 19:56:31,2010-07-24 08:31:30
367,92,30224213-5,2020-03-15 15:18:14,2020-03-19 17:13:28
368,79,92244003-4,2017-08-30 05:01:41,2017-09-11 16:43:59
369,103,95667888-9,2010-09-26 08:35:20,2010-10-09 23:48:50
370,8,87631642-0,2010-12-05 13:56:56,2010-12-14 02:00:38
371,26,95741388-9,2017-08-28 16:02:09,2017-09-01 04:46:59
372,147,48433213-4,2014-06-02 10:06:53,2014-06-11 18:27:27
373,56,77941465-5,2010-03-06 13:03:18,2010-03-21 02:39:53
374,186,53234460-3,2019-09-15 19:38:33,2019-09-29 04:35:45
375,142,13592940-9,2020-03-30 11:40:44,2020-04-11 16:09:01
376,184,52158784-9,2010-06-19 08:27:08,2010-06-25 17:23:59
377,27,25002692-7,2015-05-15 15:08:08,2015-05-18 16:30:42
378,207,35785969-7,2014-08-01 09:32:58,2014-08-06 11:52:32
379,3,33078552-7,2010-05-28 18:20:46,2010-06-05 07:29:39
380,109,52576933-k,2016-09-30 01:01:52,2016-10-12 02:57:18
381,41,23686910-5,2012-05-22 04:16:25,2012-06-01 19:14:56
382,202,38405094-8,2015-10-01 03:49:45,2015-10-07 13:27:22
383,116,65346159-3,2010-07-25 05:17:24,2010-07-29 09:16:51
384,188,66844166-1,2014-12-05 12:18:39,2014-12-17 21:55:37
385,141,79344858-9,2017-02-14 20:26:14,2017-02-18 04:08:18
